no,PK,atc_parent,vsn,model,created_on,modified_on,source_term_id,source_vsn,status,item_ua,item_en,item_code,manual,term_short_ua,term_short_en,term_desc
"44","null","null","1.0","Material","2024-09-23T14:59:14.198","2024-09-23T14:59:14.201","200000025262","2","1","Поліетилентерефталат гліколь","PolyEthylene TerePhthalate Glycol","ua_25_44","false","Поліетилентерефталат гліколь","PETG",null
"45","null","null","1.0","Material","2024-09-23T14:59:14.204","2024-09-23T14:59:14.207","200000025919","4","1","Диоксид титану","Titanium Dioxide","ua_25_45","false",null,null,null
"46","null","null","1.0","Material","2024-09-23T14:59:14.210","2024-09-23T14:59:14.212","200000025918","4","1","Полібутилметакрилат","PolyButyl Methacrylate","ua_25_46","false","Полібутилметакрилат","PBMA",null
"47","null","null","1.0","Material","2024-09-23T14:59:14.215","2024-09-23T14:59:14.218","200000025922","5","1","Поліоксиметилен","PolyOxyMethylene","ua_25_47","false","Поліоксиметилен","POM",null
"48","null","null","1.0","Material","2024-09-23T14:59:14.221","2024-09-23T14:59:14.224","200000025923","4","1","Хлоробутилкаучук","Chlorobutyl Rubber","ua_25_48","false","Хлоро-ізобутен-ізопреновий каучук","CIIR",null
"49","null","null","1.0","Material","2024-09-23T14:59:14.227","2024-09-23T14:59:14.229","200000025920","5","1","Полібутилентерефталат","PolyButylene Terephthalate","ua_25_49","false","Полібутилентерефталат","PBT",null
"50","null","null","1.0","Material","2024-09-23T14:59:14.232","2024-09-23T14:59:14.234","200000025921","4","1","Акрилонітрил бутадієн-стирол","Acrylonitrile Butadiene Styrene","ua_25_50","false","Акрилонітрил бутадієн-стирол","ABS",null
"51","null","null","1.0","Material","2024-09-23T14:59:14.323","2024-09-23T14:59:14.325","200000026009","5","1","Бромбутиловий каучук","Bromobutyl Rubber","ua_25_51","false","Бромо-ізобутіно-ізопреновий каучук","BIIR",null
"52","null","null","1.0","Material","2024-09-23T14:59:14.327","2024-09-23T14:59:14.329","200000027028","4","1","Етилен-вінілацетат","Ethylene-Vinyl Acetate","ua_25_52","false","Етилен-вінілацетат","EVA",null
"53","null","null","1.0","Material","2024-09-23T14:59:14.331","2024-09-23T14:59:14.333","200000028552","4","1","Стирол-бутадієновий каучук","Styrene-butadiene rubber","ua_25_53","false","Стирол-бутадієновий каучук","SBR",null
"54","null","null","1.0","Material","2024-09-23T14:59:14.335","2024-09-23T14:59:14.337","200000028556","4","1","Ізопрен","Isoprene","ua_25_54","false",null,null,null
"55","null","null","1.0","Material","2024-09-23T14:59:14.339","2024-09-23T14:59:14.341","200000028557","4","1","Етилентетрафторетилен","Ethylene tetrafluoroethylene","ua_25_55","false","Етилентетрафторетилен","ETFE",null
"56","null","null","1.0","Material","2024-09-23T14:59:14.343","2024-09-23T14:59:14.345","200000031023","5","1","Кальцію карбонат","Calcium Carbonate","ua_25_56","false",null,null,null
"57","null","null","1.0","Material","2024-09-23T14:59:14.349","2024-09-23T14:59:14.351","200000032265","3","4","Поліакрилонітрил","Polyacrylonitrile","ua_25_57","false","Поліакрилонітрил","PAN",null
"58","null","null","1.0","Material","2024-09-23T14:59:14.353","2024-09-23T14:59:14.355","200000032281","4","1","Галобутиловий каучук","Halobutyl Rubber","ua_25_58","false","Галогено-ізобутен-ізопреновий каучук","HIIR",null
"59","null","null","1.0","Material","2024-09-23T14:59:14.357","2024-09-23T14:59:14.358","200000032354","3","1","Гліцерил моностеарат","Glyceryl Monostearate","ua_25_59","false",null,null,null
"60","null","null","1.0","Material","2024-09-23T14:59:14.360","2024-09-23T14:59:14.362","200000032359","3","1","Скло типу IV","Glass type IV","ua_25_60","false",null,null,null
"61","null","null","1.0","Material","2024-09-23T14:59:14.364","2024-09-23T14:59:14.365","200000032485","3","1","Термопластичний поліолефін","Thermoplastic Polyolefin","ua_25_61","false","Термопластичний поліолефін","TPO",null
