495385,"100000089172","Такролімус","/71519,/UA-000000000-000038134"
495360,"100000089283","Агалсидаза бета","/45842,/UA-000000000-000009767"
495230,"100000078781","Сахароза","/29901,/UA-000000000-000001458"
495214,null,"*кремнію діоксид колоїдний зневоднений","/71495,/UA-000000000-000038125"
495213,"100000092217","Титану діоксид","/71495,/UA-000000000-000038125"
495212,"100000092866","SUNSET ЖОВТИЙ (E110) АЛЮМІНІЄВИЙ ЛАК (E110)","/71495,/UA-000000000-000038125"
495211,"100000093090","Хіноліновий жовтий (E 104)","/71495,/UA-000000000-000038125"
495209,"100000076414","КАРНАУБСЬКИЙ ВІСК","/71495,/UA-000000000-000038125"
495208,"100000092246","МАГНІЮ КАРБОНАТ, ЛЕГКИЙ","/71495,/UA-000000000-000038125"
495207,"100000091518","Кальцію карбонат","/71495,/UA-000000000-000038125"
495206,"100000092381","Повідон","/71495,/UA-000000000-000038125"
495205,"100000163033","СТЕАРАТ КАЛЬЦІЮ","/71495,/UA-000000000-000038125"
495204,"100000078781","Сахароза","/71495,/UA-000000000-000038125"
495203,"100000085975","Метилцелюлоза","/71495,/UA-000000000-000038125"
495202,"100000079864","КАРТОПЛЯНИЙ КРОХМАЛЬ","/71495,/UA-000000000-000038125"
495201,"100000126035","Етацизин","/71495,/UA-000000000-000038125"
494786,null,"*гліцерин","/71382,/71385,/71386,/UA-000000000-000038106"
494783,"100000132955","ВОДА, ОЧИЩЕНА","/71382,/71385,/71386,/UA-000000000-000038106"
494782,"100000078520","Пропіленгліколь","/71382,/71385,/71386,/UA-000000000-000038106"
494781,"100000159681","Полоксамер 124","/71382,/71385,/71386,/UA-000000000-000038106"
494780,"100000093022","Динатрію едетат","/71382,/71385,/71386,/UA-000000000-000038106"
494779,"100000092012","Докузат натрій","/71382,/71385,/71386,/UA-000000000-000038106"
494778,"300000017355","Симульгель 600 PHA","/71382,/71385,/71386,/UA-000000000-000038106"
494777,"100000132955","ВОДА, ОЧИЩЕНА","/71384,/UA-000000000-000038106"
494776,"100000078520","Пропіленгліколь","/71384,/UA-000000000-000038106"
494775,"100000159681","Полоксамер 124","/71384,/UA-000000000-000038106"
494774,null,"*гліцерин","/71383,/71384,/UA-000000000-000038106"
494772,"100000093022","Динатрію едетат","/71384,/UA-000000000-000038106"
494771,"100000092012","Докузат натрій","/71384,/UA-000000000-000038106"
494770,"300000017355","Симульгель 600 PHA","/71384,/UA-000000000-000038106"
494769,"100000132955","ВОДА, ОЧИЩЕНА","/71383,/UA-000000000-000038106"
494768,"100000078520","Пропіленгліколь","/71383,/UA-000000000-000038106"
494767,"100000159681","Полоксамер 124","/71383,/UA-000000000-000038106"
494766,"100000093022","Динатрію едетат","/71383,/UA-000000000-000038106"
494765,"100000092012","Докузат натрій","/71383,/UA-000000000-000038106"
494764,"300000017355","Симульгель 600 PHA","/71383,/UA-000000000-000038106"
494759,"100000087680","Адапален","/71383,/UA-000000000-000038106"
494758,"100000087680","Адапален","/71382,/71385,/71386,/UA-000000000-000038106"
494757,"100000085061","Бензоїлу пероксид","/71382,/71385,/71386,/UA-000000000-000038106"
494753,"100000087680","Адапален","/71384,/UA-000000000-000038106"
494752,"100000085061","Бензоїлу пероксид","/71384,/UA-000000000-000038106"
494751,"100000085061","Бензоїлу пероксид","/71383,/UA-000000000-000038106"
494224,null,"*полірибозилрибітол фосфат, кон’югований з правцевим протеїном","/59087,/71295,/71296,/71297,/71298,/71299,/71300,/71301,/71302,/71303,/UA-000000000-000001347"
494223,"100000144019","Полісахарид Haemophilus influenzae типу В (полірибосилрибітолу фосфат)","/59087,/71295,/71296,/71297,/71298,/71299,/71300,/71301,/71302,/71303,/UA-000000000-000001347"
494218,"100000076384","Бутилгідрокситолуол","/71287,/UA-000000000-000038074"
494217,"100000076384","Бутилгідрокситолуол","/71288,/UA-000000000-000038074"
494216,"100000081436","Метоксифлуран","/71287,/UA-000000000-000038074"
494215,"100000081436","Метоксифлуран","/71288,/UA-000000000-000038074"
494198,null,"*натрію тетраборат","/33239,/UA-000000000-000003204"
494160,"100000091827","Натрію цитрат","/49871,/UA-000000000-000011557"
494138,"100000079459","Фосфорна кислота","/71262,/UA-000000000-000016423"
494137,null,"*твін 80","/71262,/UA-000000000-000016423"
494136,"100000092043","Натрій дигідрогену фосфат дигідрат","/71262,/UA-000000000-000016423"
494135,"100000078781","Сахароза","/71262,/UA-000000000-000016423"
494134,"100000078997","Метакрезол","/71262,/UA-000000000-000016423"
494133,"100000078591","Улінастатин","/71262,/UA-000000000-000016423"
494008,"100000078099","Натрій","/49869,/71237,/UA-000000000-000011556"
494007,"100000132955","ВОДА, ОЧИЩЕНА","/41177,/71234,/71235,/71236,/UA-000000000-000007421"
494004,"100000078985","Етанол","/53450,/UA-000000000-000013303"
494003,"100000078985","Етанол","/53448,/UA-000000000-000013303"
494002,"100000078985","Етанол","/53451,/UA-000000000-000013303"
494001,"100000078985","Етанол","/53449,/UA-000000000-000013303"
493979,null,"*мікст-алерген пилковий № 4 (із пилку полину гіркого, амброзії полинолистої, лободи, соняшника звичайного) (Mixt-allergenum e pollen № 4 (Artemisia absinthium, Ambrosia artemisiifolia, Аrtiplex, Helianthus annuus));","/71226,/UA-000000000-000008419"
493978,null,"*мікст-алерген пилковий № 4 (із пилку полину гіркого, амброзії полинолистої, лободи, соняшника звичайного) (Mixt-allergenum e pollen № 4 (Artemisia absinthium, Ambrosia artemisiifolia, Аrtiplex, Helianthus annuus));","/71225,/UA-000000000-000008419"
493977,null,"*мікст-алерген пилковий № 4 (із пилку полину гіркого, амброзії полинолистої, лободи, соняшника звичайного) (Mixt-allergenum e pollen № 4 (Artemisia absinthium, Ambrosia artemisiifolia, Аrtiplex, Helianthus annuus));","/71224,/UA-000000000-000008419"
493976,null,"*мікст-алерген пилковий № 4 (із пилку полину гіркого, амброзії полинолистої, лободи, соняшника звичайного) (Mixt-allergenum e pollen № 4 (Artemisia absinthium, Ambrosia artemisiifolia, Аrtiplex, Helianthus annuus));","/71223,/UA-000000000-000008419"
