no,vsn,model,created_on,modified_on,source_term_id,source_vsn,status,item_ua,item_en,item_code,manual,term_short_ua,term_short_en,term_desc
56,1.0,Language,2023-10-05T16:19:18.362,2023-11-14T17:33:57.748,100000072173,1,1,Фарерська,Faroese,ua_19_56,false,null,null,null
57,1.0,Language,2023-10-05T16:19:18.364,2023-11-14T17:33:57.914,100000072174,1,1,Фіджійська,Fijian,ua_19_57,false,null,null,null
58,1.0,Language,2023-10-05T16:19:18.366,2023-11-14T17:33:57.778,100000072175,2,1,Французька,French,ua_19_58,false,null,null,null
59,1.0,Language,2023-10-05T16:19:18.368,2023-11-14T17:33:57.951,100000072176,2,1,Західнофризька,Western Frisian,ua_19_59,false,null,null,null
60,1.0,Language,2023-10-05T16:19:18.371,2023-11-14T17:33:57.780,100000072177,1,1,Грузинська,Georgian,ua_19_60,false,null,null,null
61,1.0,Language,2023-10-05T16:19:18.374,2023-11-14T17:33:57.935,100000072178,2,1,Німецька,German,ua_19_61,false,null,null,null
62,1.0,Language,2023-10-05T16:19:18.376,2023-11-14T17:33:57.937,100000072179,2,1,Ірландська,Irish,ua_19_62,false,null,null,null
63,1.0,Language,2023-10-05T16:19:18.378,2023-11-14T17:33:57.927,100000072180,1,1,Галісійська,Galician,ua_19_63,false,null,null,null
64,1.0,Language,2023-10-05T16:19:18.380,2023-11-14T17:33:57.985,100000072181,1,1,Грецька, сучасна (1453-),Greek, Modern (1453-),ua_19_64,false,null,null,null
65,1.0,Language,2023-10-05T16:19:18.383,2023-11-14T17:33:57.705,100000072182,1,1,Гуарані,Guarani,ua_19_65,false,null,null,null
66,1.0,Language,2023-10-05T16:19:18.385,2023-11-14T17:33:58.017,100000072183,1,1,Гаїтянська,Haitian,ua_19_66,false,null,null,null
67,1.0,Language,2023-10-05T16:19:18.387,2023-11-14T17:33:57.707,100000072184,1,1,Хауса,Hausa,ua_19_67,false,null,null,null
68,1.0,Language,2023-10-05T16:19:18.389,2023-11-14T17:33:57.750,100000072185,1,1,Гереро,Herero,ua_19_68,false,null,null,null
69,1.0,Language,2023-10-05T16:19:18.392,2023-11-14T17:33:57.900,100000072186,2,1,Гінді,Hindi,ua_19_69,false,null,null,null
70,1.0,Language,2023-10-05T16:19:18.394,2023-11-14T17:33:58.008,100000072187,1,1,Угорська,Hungarian,ua_19_70,false,null,null,null
71,1.0,Language,2023-10-05T16:19:18.397,2023-11-14T17:33:57.764,100000072188,1,1,Ігбо,Igbo,ua_19_71,false,null,null,null
72,1.0,Language,2023-10-05T16:19:18.399,2023-11-14T17:33:57.916,100000072189,1,1,Ідо,Ido,ua_19_72,false,null,null,null
73,1.0,Language,2023-10-05T16:19:18.402,2023-11-14T17:33:58.019,100000072190,1,1,Сичуанська,Sichuan Yi,ua_19_73,false,null,null,null
74,1.0,Language,2023-10-05T16:19:18.404,2023-11-14T17:33:57.797,100000072191,1,1,Інтерлінгва,Interlingue,ua_19_74,false,null,null,null
75,1.0,Language,2023-10-05T16:19:18.407,2023-11-14T17:33:57.983,100000072192,1,1,Інтерлінгва (Міжнародна асоціація допоміжних мов),Interlingua (International Auxiliary Language Association),ua_19_75,false,null,null,null
76,1.0,Language,2023-10-05T16:19:18.410,2023-11-14T17:33:57.841,100000072193,2,1,Інупіак,Inupiaq,ua_19_76,false,null,null,null
77,1.0,Language,2023-10-05T16:19:18.413,2023-11-14T17:33:57.973,100000072194,1,1,Італійська,Italian,ua_19_77,false,null,null,null
78,1.0,Language,2023-10-05T16:19:18.416,2023-11-14T17:33:57.766,100000072195,1,1,Японська,Japanese,ua_19_78,false,null,null,null
79,1.0,Language,2023-10-05T16:19:18.418,2023-11-14T17:33:57.826,100000072196,1,1,Гренландська,Greenlandic,ua_19_79,false,null,null,null
80,1.0,Language,2023-10-05T16:19:18.421,2023-11-14T17:33:58.059,100000072197,1,1,Кашмірська,Kashmiri,ua_19_80,false,null,null,null
81,1.0,Language,2023-10-05T16:19:18.423,2023-11-14T17:33:57.828,100000072198,2,1,Канурі,Kanuri,ua_19_81,false,null,null,null
82,1.0,Language,2023-10-05T16:19:18.426,2023-11-14T17:33:57.768,100000072199,1,1,Центральна кхмерська,Central Khmer,ua_19_82,false,null,null,null
83,1.0,Language,2023-10-05T16:19:18.428,2023-11-14T17:33:57.839,100000072200,1,1,Кікую,Kikuyu,ua_19_83,false,null,null,null
84,1.0,Language,2023-10-05T16:19:18.431,2023-11-14T17:33:57.998,100000072201,1,1,Казахська,Kazakh,ua_19_84,false,null,null,null
85,1.0,Language,2023-10-05T16:19:18.433,2023-11-14T17:33:57.830,100000072202,1,1,Кіньяруанда,Kinyarwanda,ua_19_85,false,null,null,null
86,1.0,Language,2023-10-05T16:19:18.436,2023-11-14T17:33:57.832,100000072203,1,1,Конголезька,Kongo,ua_19_86,false,null,null,null
87,1.0,Language,2023-10-05T16:19:18.439,2023-11-14T17:33:57.835,100000072204,2,1,Курдська,Kurdish,ua_19_87,false,null,null,null
88,1.0,Language,2023-10-05T16:19:18.441,2023-11-14T17:33:57.712,100000072205,2,1,Латвійська,Latvian,ua_19_88,false,null,null,null
89,1.0,Language,2023-10-05T16:19:18.444,2023-11-14T17:33:57.802,100000072206,1,1,Литовська,Lithuanian,ua_19_89,false,null,null,null
90,1.0,Language,2023-10-05T16:19:18.447,2023-11-14T17:33:57.837,100000072207,1,1,Ганда,Ganda,ua_19_90,false,null,null,null
91,1.0,Language,2023-10-05T16:19:18.450,2023-11-14T17:33:58.021,100000072208,1,1,Малаялам,Malayalam,ua_19_91,false,null,null,null
92,1.0,Language,2023-10-05T16:19:18.453,2023-11-14T17:33:58.023,100000072209,1,1,Малайська,Malay,ua_19_92,false,null,null,null
93,1.0,Language,2023-10-05T16:19:18.456,2023-11-14T17:33:57.894,100000072210,1,1,Молдавська,Moldavian,ua_19_93,false,null,null,null
94,1.0,Language,2023-10-05T16:19:18.458,2023-11-14T17:33:57.896,100000072211,1,1,Навахо,Navaho,ua_19_94,false,null,null,null
95,1.0,Language,2023-10-05T16:19:18.460,2023-11-14T17:33:57.898,100000072212,null,1,Ндонга,Ndonga,ua_19_95,false,null,null,null
96,1.0,Language,2023-10-05T16:19:18.462,2023-11-14T17:33:57.793,100000072213,2,1,Букмаль, норвезька,Bokmål, Norwegian,ua_19_96,false,null,null,null
97,1.0,Language,2023-10-05T16:19:18.464,2023-11-14T17:33:57.762,100000072214,1,1,Чічева,Chichewa,ua_19_97,false,null,null,null
98,1.0,Language,2023-10-05T16:19:18.466,2023-11-14T17:33:57.941,100000072215,1,1,Орія,Oriya,ua_19_98,false,null,null,null
99,1.0,Language,2023-10-05T16:19:18.469,2023-11-14T17:33:57.714,100000072216,2,1,Пенджабська,Panjabi,ua_19_99,false,null,null,null
100,1.0,Language,2023-10-05T16:19:18.471,2023-11-14T17:33:57.883,100000072217,1,1,Польська,Polish,ua_19_100,false,null,null,null
101,1.0,Language,2023-10-05T16:19:18.474,2023-11-14T17:33:57.963,100000072218,1,1,Кечуа,Quechua,ua_19_101,false,null,null,null
102,1.0,Language,2023-10-05T16:19:18.476,2023-11-14T17:33:57.902,100000072219,1,1,Рунді,Rundi,ua_19_102,false,null,null,null
103,1.0,Language,2023-10-05T16:19:18.478,2023-11-14T17:33:57.752,100000072220,1,1,Санскрит,Sanskrit,ua_19_103,false,null,null,null
104,1.0,Language,2023-10-05T16:19:18.480,2023-11-14T17:33:57.904,100000072221,1,1,Киргизська,Kirghiz,ua_19_104,false,null,null,null
105,1.0,Language,2023-10-05T16:19:18.483,2023-11-14T17:33:57.906,100000072222,1,1,Комі,Komi,ua_19_105,false,null,null,null
106,1.0,Language,2023-10-05T16:19:18.485,2023-11-14T17:33:57.908,100000072223,1,1,Корейська,Korean,ua_19_106,false,null,null,null
107,1.0,Language,2023-10-05T16:19:18.488,2023-11-14T17:33:57.859,100000072224,1,1,Куан'яма,Kuanyama,ua_19_107,false,null,null,null
108,1.0,Language,2023-10-05T16:19:18.490,2023-11-14T17:33:57.861,100000072225,2,1,Лаоська,Lao,ua_19_108,false,null,null,null
109,1.0,Language,2023-10-05T16:19:18.493,2023-11-14T17:33:57.791,100000072226,1,1,Латинська,Latin,ua_19_109,false,null,null,null
110,1.0,Language,2023-10-05T16:19:18.496,2023-11-14T17:33:57.877,100000072227,1,1,Лімбурзька,Limburgan,ua_19_110,false,null,null,null
111,1.0,Language,2023-10-05T16:19:18.499,2023-11-14T17:33:57.918,100000072228,1,1,Лінгала,Lingala,ua_19_111,false,null,null,null
112,1.0,Language,2023-10-05T16:19:18.503,2023-11-14T17:33:57.716,100000072229,1,1,Люксембурзька,Luxembourgish,ua_19_112,false,null,null,null
113,1.0,Language,2023-10-05T16:19:18.506,2023-11-14T17:33:57.863,100000072230,1,1,Люба-Катанга,Luba-Katanga,ua_19_113,false,null,null,null
114,1.0,Language,2023-10-05T16:19:18.509,2023-11-14T17:33:57.865,100000072231,1,1,Македонська,Macedonian,ua_19_114,false,null,null,null
115,1.0,Language,2023-10-05T16:19:18.511,2023-11-14T17:33:58.052,100000072232,1,1,Маршальська,Marshallese,ua_19_115,false,null,null,null
116,1.0,Language,2023-10-05T16:19:18.514,2023-11-14T17:33:57.718,100000072233,1,1,Маорі,Maori,ua_19_116,false,null,null,null
117,1.0,Language,2023-10-05T16:19:18.517,2023-11-14T17:33:57.758,100000072234,1,1,Маратхі,Marathi,ua_19_117,false,null,null,null
118,1.0,Language,2023-10-05T16:19:18.520,2023-11-14T17:33:57.804,100000072235,2,1,Малагасійська,Malagasy,ua_19_118,false,null,null,null
119,1.0,Language,2023-10-05T16:19:18.523,2023-11-14T17:33:57.720,100000072236,1,1,Мальтійська,Maltese,ua_19_119,false,null,null,null
120,1.0,Language,2023-10-05T16:19:18.526,2023-11-14T17:33:57.744,100000072237,1,1,Монгольська,Mongolian,ua_19_120,false,null,null,null
121,1.0,Language,2023-10-05T16:19:18.528,2023-11-14T17:33:57.746,100000072238,1,1,Науру,Nauru,ua_19_121,false,null,null,null
122,1.0,Language,2023-10-05T16:19:18.530,2023-11-14T17:33:57.879,100000072239,1,1,Південна Ндебеле,South Ndebele,ua_19_122,false,null,null,null
123,1.0,Language,2023-10-05T16:19:18.533,2023-11-14T17:33:58.025,100000072240,1,1,Північна Ндебеле,North Ndebele,ua_19_123,false,null,null,null
124,1.0,Language,2023-10-05T16:19:18.536,2023-11-14T17:33:57.770,100000072241,1,1,Непальська,Nepali,ua_19_124,false,null,null,null
125,1.0,Language,2023-10-05T16:19:18.538,2023-11-14T17:33:58.065,100000072242,4,1,Норвезька Нинорськ,Norwegian Nynorsk,ua_19_125,false,null,null,null
126,1.0,Language,2023-10-05T16:19:18.541,2023-11-14T17:33:57.772,100000072243,1,1,Норвезька,Norwegian,ua_19_126,false,null,null,null
127,1.0,Language,2023-10-05T16:19:18.544,2023-11-14T17:33:57.939,100000072244,1,1,Н'Ко,N'Ko,ua_19_127,false,null,null,null
128,1.0,Language,2023-10-05T16:19:18.547,2023-11-14T17:33:57.817,100000072245,1,1,Окситанська (після 1500),Occitan (post 1500),ua_19_128,false,null,null,null
129,1.0,Language,2023-10-05T16:19:18.551,2023-11-14T17:33:57.892,100000072246,1,1,Оджибва,Ojibwa,ua_19_129,false,null,null,null
130,1.0,Language,2023-10-05T16:19:18.553,2023-11-14T17:33:57.760,100000072247,1,1,Оромо,Oromo,ua_19_130,false,null,null,null
131,1.0,Language,2023-10-05T16:19:18.556,2023-11-14T17:33:57.734,100000072248,1,1,Осетинська,Ossetian,ua_19_131,false,null,null,null
132,1.0,Language,2023-10-05T16:19:18.559,2023-11-14T17:33:58.056,100000072249,1,1,Перська,Persian,ua_19_132,false,null,null,null
133,1.0,Language,2023-10-05T16:19:18.561,2023-11-14T17:33:57.871,100000072250,2,1,Палі,Pali,ua_19_133,false,null,null,null
134,1.0,Language,2023-10-05T16:19:18.563,2023-11-14T17:33:58.063,100000072251,1,1,Португальська,Portuguese,ua_19_134,false,null,null,null
135,1.0,Language,2023-10-05T16:19:18.566,2023-11-14T17:33:58.027,100000072252,1,1,Пуштунська,Pushto,ua_19_135,false,null,null,null
136,1.0,Language,2023-10-05T16:19:18.568,2023-11-14T17:33:57.873,100000072253,3,1,Ретороманська,Romansh,ua_19_136,false,null,null,null
137,1.0,Language,2023-10-05T16:19:18.570,2023-11-14T17:33:57.890,100000072254,1,1,Румунська,Romanian,ua_19_137,false,null,null,null
138,1.0,Language,2023-10-05T16:19:18.573,2023-11-14T17:33:57.875,100000072255,1,1,Російська,Russian,ua_19_138,false,null,null,null
139,1.0,Language,2023-10-05T16:19:18.575,2023-11-14T17:33:57.912,100000072256,1,1,Санго,Sango,ua_19_139,false,null,null,null
140,1.0,Language,2023-10-05T16:19:18.578,2023-11-14T17:33:57.857,100000072257,4,1,Сербська,Serbian,ua_19_140,false,null,null,null
141,1.0,Language,2023-10-05T16:19:18.581,2023-11-14T17:33:57.774,100000072258,2,1,Хорватська,Croatian,ua_19_141,false,null,null,null
142,1.0,Language,2023-10-05T16:19:18.583,2023-11-14T17:33:57.736,100000072259,2,1,Словацька,Slovak,ua_19_142,false,null,null,null
143,1.0,Language,2023-10-05T16:19:18.586,2023-11-14T17:33:57.806,100000072260,1,1,Словенська,Slovenian,ua_19_143,false,null,null,null
144,1.0,Language,2023-10-05T16:19:18.588,2023-11-14T17:33:57.869,100000072261,1,1,Сингальська,Sinhala,ua_19_144,false,null,null,null
145,1.0,Language,2023-10-05T16:19:18.590,2023-11-14T17:33:57.740,100000072262,1,1,Північносаамська,Northern Sami,ua_19_145,false,null,null,null
146,1.0,Language,2023-10-05T16:19:18.592,2023-11-14T17:33:57.843,100000072263,2,1,Сіндхі,Sindhi,ua_19_146,false,null,null,null
147,1.0,Language,2023-10-05T16:19:18.594,2023-11-14T17:33:57.886,100000072264,1,1,Іспанська,Spanish,ua_19_147,false,null,null,null
148,1.0,Language,2023-10-05T16:19:18.597,2023-11-14T17:33:58.029,100000072265,1,1,Сунданська,Sundanese,ua_19_148,false,null,null,null
149,1.0,Language,2023-10-05T16:19:18.599,2023-11-14T17:33:57.881,100000072266,1,1,Таїтянська,Tahitian,ua_19_149,false,null,null,null
150,1.0,Language,2023-10-05T16:19:18.601,2023-11-14T17:33:57.726,100000072267,1,1,Телугу,Telugu,ua_19_150,false,null,null,null
151,1.0,Language,2023-10-05T16:19:18.604,2023-11-14T17:33:57.961,100000072268,1,1,Тайська,Thai,ua_19_151,false,null,null,null
152,1.0,Language,2023-10-05T16:19:18.607,2023-11-14T17:33:58.033,100000072269,1,1,Тонга (Острови Тонга),Tonga (Tonga Islands),ua_19_152,false,null,null,null
153,1.0,Language,2023-10-05T16:19:18.610,2023-11-14T17:33:58.061,100000072270,1,1,Туркменська,Turkmen,ua_19_153,false,null,null,null
